"Invalid value type","Invalid value type"
"Could not save the No-Contact Delivery: %1","Could not save the No-Contact Delivery: %1"
"Could not add attribute to order: ""%1""","Could not add attribute to order: ""%1"""
"Could not add attribute to cart: ""%1""","Could not add attribute to cart: ""%1"""
"No-contact Delivery","No-contact Delivery"
Enable,Enable
"This setting enables or disables the ‘no-contact delivery’ features on the front-end.","This setting enables or disables the ‘no-contact delivery’ features on the front-end."
"Payment Methods","Payment Methods"
"Choose the payment method(s) you want to assign the ‘no-contact delivery’ to. Leave empty to assign to all payment methods.","Choose the payment method(s) you want to assign the ‘no-contact delivery’ to. Leave empty to assign to all payment methods."
"Shipping Methods","Shipping Methods"
"Choose the shipping method(s) you want to assign the ‘no-contact delivery’ to. Leave empty to assign to all shipping methods.","Choose the shipping method(s) you want to assign the ‘no-contact delivery’ to. Leave empty to assign to all shipping methods."
"""No-contact delivery"" Label","""No-contact delivery"" Label"
"This setting allows you to change the label for the ‘no-contact delivery’ option on the front-end.","This setting allows you to change the label for the ‘no-contact delivery’ option on the front-end."
"""No-contact delivery"" Description","""No-contact delivery"" Description"
"This setting allows you to add a description, which will appear below the ‘No-contact delivery’ option on the front-end.","This setting allows you to add a description, which will appear below the ‘No-contact delivery’ option on the front-end."
"Message for ""No-contact delivery"" on product page","Message for ""No-contact delivery"" on product page"
"This setting allows you to add a description, which will appear on the product page.","This setting allows you to add a description, which will appear on the product page."
"No Contact Delivery","No Contact Delivery"
